TRACK:  22 0.000341482   -1.66372e-05   0.0337286
TRACK:  11 0.0511626   -3.73409e-05   4.96601

EVENT:  35 2 18.5467  -8.90778e-05  -9280.5
TRACK:  22 0.00560296   3.75901e-05   0.542172
TRACK:  11 0.0461   -3.86788e-05   4.45756

EVENT:  36 2 18.5466  0.000292964  -9280.5
TRACK:  22 0.000389213   1.77519e-05   0.0380852
TRACK:  11 0.0515185   4.31892e-05   4.96165

EVENT:  37 2 18.5463  -0.000538767  -9280.5
TRACK:  22 0.00121383   1.75571e-05   0.114647
TRACK:  11 0.0506288   1.89223e-05   4.88508

EVENT:  38 2 18.5457  3.28379e-05  -9280.5
TRACK:  22 0.00204326   -3.33086e-05   0.196912
TRACK:  11 0.0493036   -4.31382e-05   4.80282

EVENT:  39 2 18.5467  -0.000266439  -9280.5
TRACK:  22 0.00521937   -4.27539e-05   0.501533
TRACK:  11 0.0466609   -1.7288e-05   4.4982

EVENT:  40 2 18.5469  -0.000219637  -9280.5
TRACK:  22 0.00689293   1.04869e-05   0.662281
TRACK:  11 0.0449422   8.79281e-06   4.33745

EVENT:  41 2 18.5465  0.000336549  -9280.5
TRACK:  22 0.00434376   9.1069e-06   0.416834
TRACK:  11 0.047273   -2.80479e-05   4.5829

EVENT:  42 2 18.547  0.000209513  -9280.5
TRACK:  22 0.000670387   2.13884e-06   0.0671042
TRACK:  11 0.0510328   -0.000136879   4.93263

EVENT:  43 2 18.5472  3.79238e-05  -9280.5
TRACK:  22 0.00422992   -2.07484e-05   0.411294
TRACK:  11 0.0476097   5.5183e-05   4.58844

EVENT:  44 2 18.5475  0.000334872  -9280.5
TRACK:  22 0.00437589   1.92156e-05   0.427578
TRACK:  11 0.0472169   -3.29952e-05   4.57216

EVENT:  45 2 18.546  0.000233062  -9280.5
TRACK:  22 0.00146649   1.47311e-05   0.145641
TRACK:  11 0.0499197   3.79495e-05   4.8541

EVENT:  46 2 18.5477  0.000158136  -9280.5
TRACK:  22 0.00278524   1.3839e-05   0.264457
TRACK:  11 0.049152   1.15004e-05   4.73527

EVENT:  47 2 18.5469  0.000137523  -9280.5
TRACK:  22 0.00353126   -3.03584e-05   0.34498
TRACK:  11 0.0480652   2.92308e-05   4.65475

EVENT:  48 2 18.5472  -0.000121714  -9280.5
TRACK:  22 0.00332972   -3.26555e-05   0.32288
TRACK:  11 0.0485624   7.80974e-05   4.67685

EVENT:  49 2 18.546  0.000461967  -9280.5
TRACK:  22 0.00432285   4.60047e-05   0.417414
TRACK:  11 0.047209   6.94374e-05   4.58232

EVENT:  50 2 18.5465  -8.58911e-05  -9280.5
TRACK:  22 0.00283916   1.95528e-05   0.277155
TRACK:  11 0.0490406   2.68855e-05   4.72258

EVENT:  51 2 18.5469  -0.000270179  -9280.5
TRACK:  22 0.00371692   -2.34061e-05   0.362947
TRACK:  11 0.0480013   -3.86407e-05   4.63679

EVENT:  52 2 18.5457  0.000408005  -9280.5
TRACK:  22 0.00746953   -1.87572e-05   0.720062
TRACK:  11 0.0444539   -5.4349e-09   4.27967

EVENT:  53 2 18.5464  0.000725039  -9280.5
TRACK:  22 0.000573641   6.20464e-06   0.0583157
TRACK:  11 0.0504192   -0.000113104   4.94142

EVENT:  54 2 18.5469  9.93754e-05  -9280.5
TRACK:  22 0.00736572   2.47764e-05   0.71122
TRACK:  11 0.0443476   2.47141e-05   4.28851

EVENT:  55 2 18.5469  0.000305527  -9280.5
TRACK:  22 0.00240906   -2.39772e-05   0.23552
TRACK:  11 0.049446   -7.10119e-05   4.76421

EVENT:  56 2 18.5484  -5.53709e-05  -9280.5
TRACK:  22 0.00624664   -3.99161e-05   0.604507
TRACK:  11 0.0454295   -1.15913e-05   4.39523

EVENT:  57 2 18.547  0.000197288  -9280.5
TRACK:  22 4.06974e-05   -4.8204e-06   0.0036108
TRACK:  11 0.0520185   9.81895e-05   4.99612

EVENT:  58 2 18.547  -0.000218468  -9280.5
TRACK:  22 0.00639784   2.09121e-05   0.61727
TRACK:  11 0.0454799   -0.000109547   4.38246

EVENT:  59 2 18.5472  -3.14913e-05  -9280.5
TRACK:  22 0.00241224   3.08532e-05   0.231062
TRACK:  11 0.0493761   -9.43714e-05   4.76867

EVENT:  60 2 18.5471  -3.86777e-05  -9280.5
TRACK:  22 0.00458325   1.86514e-05   0.449351
TRACK:  11 0.0468046   -5.04067e-05   4.55039

EVENT:  61 2 18.5458  -0.000117471  -9280.5
TRACK:  22 0.00702021   2.4671e-05   0.678591
TRACK:  11 0.0448271   1.4314e-05   4.32114

EVENT:  62 2 18.5477  -0.000274026  -9280.5
TRACK:  22 0.00259697   9.1292e-06   0.252493
TRACK:  11 0.0495578   -0.000112442   4.74723

EVENT:  63 2 18.547  -0.000255466  -9280.5
TRACK:  22 0.00245381   -1.06399e-05   0.240217
TRACK:  11 0.049415   -4.40646e-05   4.75951

EVENT:  64 2 18.5467  0.000385309  -9280.5
TRACK:  22 0.00306935   5.43668e-06   0.294355
TRACK:  11 0.0483897   -8.14606e-05   4.70538

EVENT:  65 2 18.5467  9.67683e-05  -9280.5
TRACK:  22 0.00740062   3.23269e-06   0.714088
TRACK:  11 0.0445439   -2.61633e-05   4.28564

EVENT:  66 2 18.5461  0.000442772  -9280.5
TRACK:  22 0.00248874   3.81934e-05   0.242215
TRACK:  11 0.0491434   -1.57099e-05   4.75752

EVENT:  67 2 18.5473  0.000101296  -9280.5
TRACK:  22 0.00042686   -1.96699e-05   0.0414535
TRACK:  11 0.0512333   -5.42849e-05   4.95828

EVENT:  68 2 18.5464  0.000445247  -9280.5
TRACK:  22 0.00418611   4.12619e-05   0.40465
TRACK:  11 0.0473818   -2.57607e-05   4.59508

EVENT:  69 2 18.5477  -0.000197452  -9280.5
