Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
,,,,,,,,,,,,
MQT2TNE1,329.570616,-365.163666,-1.17E-17,350.891834,0,0,41.806177,-1.65E-18,-1.36E-18,1721,214,11
,,,,,,,,,,,,
SF8TNE.1,329.713331,-365.036036,-1.17E-17,351.083294,0.334,0,41.806177,-1.65E-18,-1.36E-18,1724,215,369
,,,,,,,,,,,,
ZHQTATNE1,331.095161,-363.80027,-1.18E-17,352.937094,0.3444,0,41.806177,-1.65E-18,-1.36E-18,1726,216,324
,,,,,,,,,,,,
QTATNE.1,331.437395,-363.494211,-1.18E-17,353.396219,0.82615,0.2276495,41.806177,-1.65E-18,-1.36E-18,1728,217,375
,,,,,,,,,,,,
MQTATNE1,332.192545,-362.818882,-1.18E-17,354.409294,0,0,41.806177,-1.65E-18,-1.36E-18,1730,218,11
,,,,,,,,,,,,
ZVQT3TNE1,334.727375,-360.551991,-1.19E-17,357.809906,0.3444,0,41.806177,-1.65E-18,-1.36E-18,1732,219,324
,,,,,,,,,,,,
QT3TNE.1,335.069609,-360.245932,-1.19E-17,358.269031,0.82615,-0.1099635,41.806177,-1.65E-18,-1.36E-18,1734,220,376
,,,,,,,,,,,,
MQT3TNE1,335.824759,-359.570603,-1.19E-17,359.282106,0,0,41.806177,-1.65E-18,-1.36E-18,1736,221,11
,,,,,,,,,,,,
B2E.14,336.995692,-358.523442,-1.20E-17,360.852975,5.902202,0.0557427,41.806177,-1.65E-18,-1.36E-18,1738,222,366
,,,,,,,,,,,,
MQT4TNE1,341.768949,-353.982766,-1.22E-17,367.441976,0,0,45,-1.57E-18,-1.45E-18,1740,223,11
,,,,,,,,,,,,
QT4TNE.1,341.901125,-353.85059,-1.22E-17,367.628901,0.82615,-0.0462143,45,-1.57E-18,-1.45E-18,1742,224,377
,,,,,,,,,,,,
ZVQT4TNE1,342.566424,-353.185291,-1.22E-17,368.569776,0.3444,0,45,-1.57E-18,-1.45E-18,1744,225,324
,,,,,,,,,,,,
MQTBTNE1,344.610271,-351.141444,-1.23E-17,371.460212,0,0,45,-1.57E-18,-1.45E-18,1746,226,11
,,,,,,,,,,,,
QTBTNE.1,344.745558,-351.006157,-1.23E-17,371.651537,0.81735,0.1507602,45,-1.57E-18,-1.45E-18,1748,227,378
,,,,,,,,,,,,
ZHQTBTNE1,345.407746,-350.343969,-1.23E-17,372.588012,0.3444,0,45,-1.57E-18,-1.45E-18,1750,228,324
,,,,,,,,,,,,
MQT5TNE,347.451593,-348.300122,-1.24E-17,375.478449,0,0,45,-1.57E-18,-1.45E-18,1752,229,11
,,,,,,,,,,,,
QT5TNE,347.583769,-348.167946,-1.24E-17,375.665374,0.82615,-0.1831292,45,-1.57E-18,-1.45E-18,1754,230,379
,,,,,,,,,,,,
ZVQT5TNE,348.249068,-347.502647,-1.24E-17,376.606249,0.3444,0,45,-1.57E-18,-1.45E-18,1756,231,324
,,,,,,,,,,,,
ZHQTBTNE2,350.100441,-345.651274,-1.25E-17,379.224485,0.3444,0,45,-1.57E-18,-1.45E-18,1758,232,324
,,,,,,,,,,,,
QTBTNE.2,350.428203,-345.323512,-1.25E-17,379.68801,0.81735,0.1507602,45,-1.57E-18,-1.45E-18,1760,233,378
,,,,,,,,,,,,
MQTBTNE2,351.141444,-344.610271,-1.25E-17,380.696685,0,0,45,-1.57E-18,-1.45E-18,1762,234,11
,,,,,,,,,,,,
ZVQT4TNE2,352.941763,-342.809952,-1.26E-17,383.242721,0.3444,0,45,-1.57E-18,-1.45E-18,1764,235,324
,,,,,,,,,,,,
QT4TNE.2,353.266414,-342.485301,-1.26E-17,383.701846,0.82615,-0.0462143,45,-1.57E-18,-1.45E-18,1766,236,377
,,,,,,,,,,,,
MQT4TNE2,353.982766,-341.768949,-1.27E-17,384.714921,0,0,45,-1.57E-18,-1.45E-18,1768,237,11
,,,,,,,,,,,,
B2E.15,354.468406,-341.283309,-1.27E-17,385.401721,5.902202,0.0557427,45,-1.57E-18,-1.45E-18,1770,238,366
,,,,,,,,,,,,
MQT3TNE2,359.570603,-335.82476,-1.29E-17,392.874792,0,0,48.193823,-1.49E-18,-1.53E-18,1772,239,11
,,,,,,,,,,,,
QT3TNE.2,359.69521,-335.685425,-1.29E-17,393.061717,0.82615,-0.1099635,48.193823,-1.49E-18,-1.53E-18,1774,240,376
,,,,,,,,,,,,
ZVQT3TNE2,360.322409,-334.984093,-1.29E-17,394.002592,0.3444,0,48.193823,-1.49E-18,-1.53E-18,1776,241,324
,,,,,,,,,,,,
MQTATNE2,362.818882,-332.192546,-1.30E-17,397.747603,0,0,48.193823,-1.49E-18,-1.53E-18,1780,242,11
,,,,,,,,,,,,
QTATNE.2,362.943488,-332.053211,-1.30E-17,397.934528,0.82615,0.2276495,48.193823,-1.49E-18,-1.53E-18,1782,243,375
,,,,,,,,,,,,
ZHQTATNE2,363.570688,-331.351879,-1.30E-17,398.875403,0.3444,0,48.193823,-1.49E-18,-1.53E-18,1784,244,324
,,,,,,,,,,,,
SF8TNE.2,364.813387,-329.962297,-1.31E-17,400.739603,0.334,0,48.193823,-1.49E-18,-1.53E-18,1787,245,369
,,,,,,,,,,,,
MQT2TNE2,365.163666,-329.570616,-1.31E-17,401.265063,0,0,48.193823,-1.49E-18,-1.53E-18,1789,246,11
,,,,,,,,,,,,
QT2TNE.2,365.288272,-329.431282,-1.31E-17,401.451988,1.01523,-0.1472703,48.193823,-1.49E-18,-1.53E-18,1791,247,374
,,,,,,,,,,,,
ZVQT2TNE2,366.041515,-328.589009,-1.31E-17,402.581943,0.3444,0,48.193823,-1.49E-18,-1.53E-18,1793,248,324
,,,,,,,,,,,,
ZVQT1TNE2,367.65383,-326.786124,-1.32E-17,405.000611,0.3444,0,48.193823,-1.49E-18,-1.53E-18,1795,249,324
,,,,,,,,,,,,
QT1TNE.2,367.959888,-326.44389,-1.32E-17,405.459736,0.82615,-0.0365776,48.193823,-1.49E-18,-1.53E-18,1797,250,373
,,,,,,,,,,,,
MQT1TNE2,368.635217,-325.68874,-1.32E-17,406.472811,0,0,48.193823,-1.49E-18,-1.53E-18,1799,251,11
,,,,,,,,,,,,
SD7NRE.1,368.76454,-325.544132,-1.32E-17,406.666811,1.03,0,48.193823,-1.49E-18,-1.53E-18,1801,252,365
,,,,,,,,,,,,
B2E.16,370.728317,-323.348243,-1.33E-17,409.612714,5.902202,0.0557427,48.193823,-1.49E-18,-1.53E-18,1803,253,366
,,,,,,,,,,,,
QF2E.7,374.962099,-318.310558,-1.35E-17,416.19423,0.55697,0.1918305,51.387646,-1.40E-18,-1.61E-18,1805,254,367
,,,,,,,,,,,,
MQF2E7,375.416708,-317.74133,-1.35E-17,416.922715,0,0,51.387646,-1.40E-18,-1.61E-18,1807,255,11
,,,,,,,,,,,,
ZHQF2E7,375.46838,-317.676631,-1.35E-17,417.005515,0.3444,0,51.387646,-1.40E-18,-1.61E-18,1809,256,324
,,,,,,,,,,,,
ZVQD1E4,377.580629,-315.031832,-1.36E-17,420.390269,0.3444,0,51.387646,-1.40E-18,-1.61E-18,1811,257,324
,,,,,,,,,,,,
QD1E.4,377.870552,-314.668812,-1.36E-17,420.854854,1.01523,-0.2548509,51.387646,-1.40E-18,-1.61E-18,1814,258,368
,,,,,,,,,,,,
MQD1E4,378.624162,-313.725199,-1.36E-17,422.062469,0,0,51.387646,-1.40E-18,-1.61E-18,1816,259,11
,,,,,,,,,,,,
ZHQF2E8,380.691355,-311.136816,-1.37E-17,425.375023,0.3444,0,51.387646,-1.40E-18,-1.61E-18,1818,260,324
,,,,,,,,,,,,
MQF2E8,380.957948,-310.803008,-1.37E-17,425.802223,0,0,51.387646,-1.40E-18,-1.61E-18,1820,261,11
,,,,,,,,,,,,
QF2E.8,381.064982,-310.668988,-1.37E-17,425.973738,0.55697,0.1918305,51.387646,-1.40E-18,-1.61E-18,1822,262,367
,,,,,,,,,,,,
B2E.17,381.836483,-309.702973,-1.37E-17,427.210022,5.902202,0.0557427,51.387646,-1.40E-18,-1.61E-18,1824,263,366
,,,,,,,,,,,,
SD7NRE.2,386.499679,-303.429486,-1.39E-17,435.028127,1.03,0,54.581469,-1.31E-18,-1.69E-18,1826,264,365
,,,,,,,,,,,,
MQD3E6,387.209041,-302.431999,-1.40E-17,436.252127,0,0,54.581469,-1.31E-18,-1.69E-18,1828,265,11
,,,,,,,,,,,,
QD3E.6,387.317373,-302.279666,-1.40E-17,436.439052,0.82615,-0.1748774,54.581469,-1.31E-18,-1.69E-18,1830,266,364
,,,,,,,,,,,,
ZVQD3E6,387.862652,-301.512909,-1.40E-17,437.379927,0.3444,0,54.581469,-1.31E-18,-1.69E-18,1832,267,324
,,,,,,,,,,,,
SKCNRE.1,388.700547,-300.334684,-1.40E-17,438.825708,0.3444,0,54.581469,-1.31E-18,-1.69E-18,1834,268,324
,,,,,,,,,,,,
ZHQF4E6,389.028569,-299.873427,-1.40E-17,439.391708,0.3444,0,54.581469,-1.31E-18,-1.69E-18,1836,269,324
,,,,,,,,,,,,
QF4E.6,389.297817,-299.494818,-1.40E-17,439.856293,1.01523,0.0349495,54.581469,-1.31E-18,-1.69E-18,1838,270,363
,,,,,,,,,,,,
MQF4E6,389.997684,-298.510684,-1.41E-17,441.063908,0,0,54.581469,-1.31E-18,-1.69E-18,1840,271,11
,,,,,,,,,,,,
SF6NRE.1,390.105479,-298.359105,-1.41E-17,441.249908,0.334,0,54.581469,-1.31E-18,-1.69E-18,1842,272,369
,,,,,,,,,,,,
ZHQEAE7,391.822302,-295.944955,-1.41E-17,444.212272,0.3444,0,54.581469,-1.31E-18,-1.69E-18,1846,273,324
,,,,,,,,,,,,
QEAE.7,392.088385,-295.570795,-1.41E-17,444.671397,0.82615,0.1830092,54.581469,-1.31E-18,-1.69E-18,1848,274,370
,,,,,,,,,,,,
MQEAE7,392.675508,-294.7452,-1.42E-17,445.684472,0,0,54.581469,-1.31E-18,-1.69E-18,1850,275,11
,,,,,,,,,,,,
ZVQD5E7,395.155495,-291.257907,-1.43E-17,449.963671,0.3444,0,54.581469,-1.31E-18,-1.69E-18,1852,276,324
,,,,,,,,,,,,
QD5E.7,395.421579,-290.883748,-1.43E-17,450.422796,0.82615,-0.1793457,54.581469,-1.31E-18,-1.69E-18,1854,277,371
,,,,,,,,,,,,
MQD5E7,396.008701,-290.058152,-1.43E-17,451.435871,0,0,54.581469,-1.31E-18,-1.69E-18,1856,278,11
,,,,,,,,,,,,
B2E.18,396.406732,-289.498452,-1.43E-17,452.122671,5.902202,0.0557427,54.581469,-1.31E-18,-1.69E-18,1858,279,366
,,,,,,,,,,,,
MQF6E4,400.076952,-283.984226,-1.45E-17,458.747672,0,0,57.775292,-1.21E-18,-1.76E-18,1860,280,11
,,,,,,,,,,,,
QF6E.4,400.168411,-283.839131,-1.45E-17,458.919187,0.55697,0.1633353,57.775292,-1.21E-18,-1.76E-18,1862,281,372
,,,,,,,,,,,,
B2E.19,400.942296,-282.611398,-1.45E-17,460.370471,5.902202,0.0557427,57.775292,-1.21E-18,-1.76E-18,1864,282,366
,,,,,,,,,,,,
MQD5E8,404.282127,-276.932731,-1.46E-17,466.959472,0,0,60.969115,-1.11E-18,-1.82E-18,1866,283,11
,,,,,,,,,,,,
QD5E.8,404.372838,-276.769292,-1.46E-17,467.146397,0.82615,-0.1793457,60.969115,-1.11E-18,-1.82E-18,1868,284,371
,,,,,,,,,,,,
ZVQD5E8,404.829427,-275.94663,-1.47E-17,468.087272,0.3444,0,60.969115,-1.11E-18,-1.82E-18,1870,285,324
,,,,,,,,,,,,
MQEAE8,407.073171,-271.903948,-1.47E-17,472.710871,0,0,60.969115,-1.11E-18,-1.82E-18,1874,286,11
,,,,,,,,,,,,
QEAE.8,407.163883,-271.740509,-1.47E-17,472.897796,0.82615,0.1830092,60.969115,-1.11E-18,-1.82E-18,1876,287,370
,,,,,,,,,,,,
ZHQEAE8,407.620471,-270.917847,-1.48E-17,473.838671,0.3444,0,60.969115,-1.11E-18,-1.82E-18,1878,288,324
,,,,,,,,,,,,
SF6NRE.2,409.063097,-268.318586,-1.48E-17,476.811435,0.334,0,60.969115,-1.11E-18,-1.82E-18,1882,289,369
,,,,,,,,,,,,
MQF4E7,409.315443,-267.86392,-1.48E-17,477.331435,0,0,60.969115,-1.11E-18,-1.82E-18,1884,290,11
,,,,,,,,,,,,
QF4E.7,409.408804,-267.695707,-1.48E-17,477.52382,1.01523,0.0349495,60.969115,-1.11E-18,-1.82E-18,1886,291,363
,,,,,,,,,,,,
ZHQF4E7,409.9598,-266.702947,-1.49E-17,478.659235,0.3444,0,60.969115,-1.11E-18,-1.82E-18,1888,292,324
,,,,,,,,,,,,
SKCNRE.2,410.234469,-266.20806,-1.49E-17,479.225235,0.3444,0,60.969115,-1.11E-18,-1.82E-18,1890,293,324
,,,,,,,,,,,,
ZVQD3E7,410.936079,-264.94393,-1.49E-17,480.671016,0.3444,0,60.969115,-1.11E-18,-1.82E-18,1892,294,324
,,,,,,,,,,,,
QD3E.7,411.158883,-264.54249,-1.49E-17,481.130141,0.82615,-0.1748774,60.969115,-1.11E-18,-1.82E-18,1894,295,364
,,,,,,,,,,,,
MQD3E7,411.650509,-263.6567,-1.49E-17,482.143216,0,0,60.969115,-1.11E-18,-1.82E-18,1896,296,11
,,,,,,,,,,,,
SD5NRE.1,411.744654,-263.487074,-1.49E-17,482.337216,1.03,0,60.969115,-1.11E-18,-1.82E-18,1898,297,365
,,,,,,,,,,,,
B2E.20,413.174245,-260.911299,-1.50E-17,485.28312,5.902202,0.0557427,60.969115,-1.11E-18,-1.82E-18,1900,298,366
,,,,,,,,,,,,
QF2E.9,416.189246,-255.062115,-1.51E-17,491.864636,0.55697,0.1918305,64.162938,-1.01E-18,-1.88E-18,1902,299,367
,,,,,,,,,,,,
MQF2E9,416.506729,-254.406452,-1.51E-17,492.593121,0,0,64.162938,-1.01E-18,-1.88E-18,1904,300,11
,,,,,,,,,,,,
ZHQF2E9,416.542815,-254.331929,-1.51E-17,492.675921,0.3444,0,64.162938,-1.01E-18,-1.88E-18,1906,301,324
,,,,,,,,,,,,
ZVQD1E5,418.017936,-251.285525,-1.52E-17,496.060675,0.3444,0,64.162938,-1.01E-18,-1.88E-18,1908,302,324
,,,,,,,,,,,,
QD1E.5,418.220408,-250.867381,-1.52E-17,496.52526,1.01523,-0.2548509,64.162938,-1.01E-18,-1.88E-18,1910,303,368
,,,,,,,,,,,,
MQD1E5,418.746703,-249.780483,-1.52E-17,497.732875,0,0,64.162938,-1.01E-18,-1.88E-18,1912,304,11
,,,,,,,,,,,,
ZHQF2E10,420.190358,-246.799062,-1.53E-17,501.045429,0.3444,0,64.162938,-1.01E-18,-1.88E-18,1914,305,324
,,,,,,,,,,,,
MQF2E10,420.376538,-246.414566,-1.53E-17,501.472629,0,0,64.162938,-1.01E-18,-1.88E-18,1916,306,11
,,,,,,,,,,,,
QF2E.10,420.451286,-246.260196,-1.53E-17,501.644144,0.55697,0.1918305,64.162938,-1.01E-18,-1.88E-18,1918,307,367
,,,,,,,,,,,,
B2E.21,420.990075,-245.147494,-1.53E-17,502.880428,5.902202,0.0557427,64.162938,-1.01E-18,-1.88E-18,1920,308,366
,,,,,,,,,,,,
SD5NRE.2,424.15059,-237.998146,-1.54E-17,510.698533,1.03,0,67.356761,-9.04E-19,-1.94E-18,1922,309,365
,,,,,,,,,,,,
MQD3E8,424.62182,-236.868492,-1.54E-17,511.922533,0,0,67.356761,-9.04E-19,-1.94E-18,1924,310,11
,,,,,,,,,,,,
QD3E.8,424.693784,-236.695975,-1.55E-17,512.109458,0.82615,-0.1748774,67.356761,-9.04E-19,-1.94E-18,1926,311,364
,,,,,,,,,,,,
ZVQD3E8,425.056014,-235.827622,-1.55E-17,513.050333,0.3444,0,67.356761,-9.04E-19,-1.94E-18,1928,312,324
,,,,,,,,,,,,
SKBNRE.1,425.612628,-234.493282,-1.55E-17,514.496114,0.3444,0,67.356761,-9.04E-19,-1.94E-18,1930,313,324
,,,,,,,,,,,,
ZHQF4E8,425.830533,-233.970909,-1.55E-17,515.062114,0.3444,0,67.356761,-9.04E-19,-1.94E-18,1932,314,324
,,,,,,,,,,,,
QF4E.8,426.009395,-233.542135,-1.55E-17,515.526699,1.01523,0.0349495,67.356761,-9.04E-19,-1.94E-18,1934,315,363
,,,,,,,,,,,,
MQF4E8,426.474317,-232.427603,-1.55E-17,516.734314,0,0,67.356761,-9.04E-19,-1.94E-18,1936,316,11
,,,,,,,,,,,,
SF4NRE.1,426.545925,-232.25594,-1.55E-17,516.920314,0.334,0,67.356761,-9.04E-19,-1.94E-18,1938,317,369
,,,,,,,,,,,,
ZHQEAE9,427.686411,-229.521915,-1.56E-17,519.882678,0.3444,0,67.356761,-9.04E-19,-1.94E-18,1942,318,324
,,,,,,,,,,,,
QEAE.9,427.863171,-229.098179,-1.56E-17,520.341803,0.82615,0.1830092,67.356761,-9.04E-19,-1.94E-18,1944,319,370
,,,,,,,,,,,,
MQEAE9,428.253196,-228.163192,-1.56E-17,521.354878,0,0,67.356761,-9.04E-19,-1.94E-18,1946,320,11
,,,,,,,,,,,,
ZVQD5E9,429.900654,-224.213834,-1.57E-17,525.634077,0.3444,0,67.356761,-9.04E-19,-1.94E-18,1948,321,324
,,,,,,,,,,,,
QD5E.9,430.077413,-223.790098,-1.57E-17,526.093202,0.82615,-0.1793457,67.356761,-9.04E-19,-1.94E-18,1950,322,371
,,,,,,,,,,,,
MQD5E9,430.467439,-222.855111,-1.57E-17,527.106277,0,0,67.356761,-9.04E-19,-1.94E-18,1952,323,11
,,,,,,,,,,,,
B2E.22,430.731851,-222.221251,-1.57E-17,527.793076,5.902202,0.0557427,67.356761,-9.04E-19,-1.94E-18,1954,324,366
,,,,,,,,,,,,
MQF6E5,433.091865,-216.031942,-1.58E-17,534.418078,0,0,70.550583,-7.95E-19,-1.98E-18,1956,325,11
,,,,,,,,,,,,
QF6E.5,433.148975,-215.870215,-1.58E-17,534.589593,0.55697,0.1633353,70.550583,-7.95E-19,-1.98E-18,1958,326,372
,,,,,,,,,,,,
B2E.23,433.632216,-214.501747,-1.58E-17,536.040877,5.902202,0.0557427,70.550583,-7.95E-19,-1.98E-18,1960,327,366
,,,,,,,,,,,,
MQD5E10,435.633657,-208.225127,-1.59E-17,542.629878,0,0,73.744406,-6.83E-19,-2.02E-18,1962,328,11
,,,,,,,,,,,,
QD5E.10,435.685981,-208.045675,-1.59E-17,542.816803,0.82615,-0.1793457,73.744406,-6.83E-19,-2.02E-18,1964,329,371
,,,,,,,,,,,,
ZVQD5E10,435.949353,-207.142414,-1.59E-17,543.757678,0.3444,0,73.744406,-6.83E-19,-2.02E-18,1966,330,324
,,,,,,,,,,,,
MQEAE10,437.243604,-202.703654,-1.60E-17,548.381277,0,0,73.744406,-6.83E-19,-2.02E-18,1970,331,11
,,,,,,,,,,,,
QEAE.10,437.295929,-202.524202,-1.60E-17,548.568202,0.82615,0.1830092,73.744406,-6.83E-19,-2.02E-18,1972,332,370
,,,,,,,,,,,,
ZHQEAE10,437.559301,-201.620941,-1.60E-17,549.509077,0.3444,0,73.744406,-6.83E-19,-2.02E-18,1974,333,324
,,,,,,,,,,,,
SF4NRE.2,438.391445,-198.767021,-1.60E-17,552.481841,0.334,0,73.744406,-6.83E-19,-2.02E-18,1978,334,369
,,,,,,,,,,,,
MQF4E9,438.537005,-198.267809,-1.60E-17,553.001841,0,0,73.744406,-6.83E-19,-2.02E-18,1980,335,11
,,,,,,,,,,,,
QF4E.9,438.590858,-198.083115,-1.60E-17,553.194226,1.01523,0.0349495,73.744406,-6.83E-19,-2.02E-18,1982,336,363
,,,,,,,,,,,,
ZHQF4E9,438.908686,-196.993091,-1.60E-17,554.329641,0.3444,0,73.744406,-6.83E-19,-2.02E-18,1984,337,324
,,,,,,,,,,,,
SKBNRE.2,439.067123,-196.449718,-1.61E-17,554.895641,0.3444,0,73.744406,-6.83E-19,-2.02E-18,1986,338,324
,,,,,,,,,,,,
ZVQD3E9,439.47183,-195.061736,-1.61E-17,556.341422,0.3444,0,73.744406,-6.83E-19,-2.02E-18,1988,339,324
,,,,,,,,,,,,
QD3E.9,439.600349,-194.620965,-1.61E-17,556.800547,0.82615,-0.1748774,73.744406,-6.83E-19,-2.02E-18,1990,340,364
,,,,,,,,,,,,
MQD3E9,439.883932,-193.648391,-1.61E-17,557.813622,0,0,73.744406,-6.83E-19,-2.02E-18,1992,341,11
,,,,,,,,,,,,
SD3NRE.1,439.938237,-193.462146,-1.61E-17,558.007622,1.03,0,73.744406,-6.83E-19,-2.02E-18,1994,342,365
,,,,,,,,,,,,
B2E.24,440.762862,-190.634013,-1.61E-17,560.953525,5.902202,0.0557427,73.744406,-6.83E-19,-2.02E-18,1996,343,366
,,,,,,,,,,,,
QF2E.11,442.409808,-184.262926,-1.62E-17,567.535042,0.55697,0.1918305,76.938229,-5.69E-19,-2.06E-18,1998,344,367
,,,,,,,,,,,,
MQF2E11,442.574447,-183.553289,-1.62E-17,568.263527,0,0,76.938229,-5.69E-19,-2.06E-18,2000,345,11
,,,,,,,,,,,,
ZHQF2E11,442.59316,-183.472631,-1.62E-17,568.346327,0.3444,0,76.938229,-5.69E-19,-2.06E-18,2002,346,324
,,,,,,,,,,,,
ZVQD1E6,443.358119,-180.175451,-1.62E-17,571.73108,0.3444,0,76.938229,-5.69E-19,-2.06E-18,2004,347,324
,,,,,,,,,,,,
QD1E.6,443.463116,-179.722886,-1.62E-17,572.195665,1.01523,-0.2548509,76.938229,-5.69E-19,-2.06E-18,2006,348,368
,,,,,,,,,,,,
MQD1E6,443.736038,-178.546516,-1.63E-17,573.40328,0,0,76.938229,-5.69E-19,-2.06E-18,2008,349,11
,,,,,,,,,,,,
ZHQF2E12,444.48468,-175.319668,-1.63E-17,576.715834,0.3444,0,76.938229,-5.69E-19,-2.06E-18,2010,350,324
,,,,,,,,,,,,
MQF2E12,444.581228,-174.903521,-1.63E-17,577.143034,0,0,76.938229,-5.69E-19,-2.06E-18,2012,351,11
,,,,,,,,,,,,
QF2E.12,444.61999,-174.736443,-1.63E-17,577.314549,0.55697,0.1918305,76.938229,-5.69E-19,-2.06E-18,2014,352,367
,,,,,,,,,,,,
B2E.25,444.899392,-173.532145,-1.63E-17,578.550834,5.902202,0.0557427,76.938229,-5.69E-19,-2.06E-18,2016,353,366
,,,,,,,,,,,,
SD3NRE.2,446.400746,-165.860902,-1.64E-17,586.368939,1.03,0,80.132052,-4.54E-19,-2.09E-18,2018,354,365
,,,,,,,,,,,,
MQD3E10,446.610513,-164.655011,-1.64E-17,587.592939,0,0,80.132052,-4.54E-19,-2.09E-18,2020,355,11
,,,,,,,,,,,,
QD3E.10,446.642548,-164.470851,-1.64E-17,587.779864,0.82615,-0.1748774,80.132052,-4.54E-19,-2.09E-18,2022,356,364
,,,,,,,,,,,,
ZVQD3E10,446.803793,-163.543896,-1.64E-17,588.720739,0.3444,0,80.132052,-4.54E-19,-2.09E-18,2024,357,324
,,,,,,,,,,,,
ZHQF4E10,447.148568,-161.561878,-1.64E-17,590.73252,0.3444,0,80.132052,-4.54E-19,-2.09E-18,2026,358,324
,,,,,,,,,,,,
QF4E.10,447.228188,-161.104167,-1.64E-17,591.197105,1.01523,0.0349495,80.132052,-4.54E-19,-2.09E-18,2028,359,363
,,,,,,,,,,,,
MQF4E10,447.435146,-159.914418,-1.64E-17,592.40472,0,0,80.132052,-4.54E-19,-2.09E-18,2030,360,11
,,,,,,,,,,,,
SF2NRE.1,447.467023,-159.73117,-1.64E-17,592.59072,0.334,0,80.132052,-4.54E-19,-2.09E-18,2032,361,369
,,,,,,,,,,,,
ZHQEAE11,447.974707,-156.812633,-1.64E-17,595.553084,0.3444,0,80.132052,-4.54E-19,-2.09E-18,2034,362,324
,,,,,,,,,,,,
QEAE.11,448.053391,-156.360301,-1.64E-17,596.012209,0.82615,0.1830092,80.132052,-4.54E-19,-2.09E-18,2036,363,370
,,,,,,,,,,,,
MQEAE11,448.227009,-155.362214,-1.65E-17,597.025284,0,0,80.132052,-4.54E-19,-2.09E-18,2038,364,11
,,,,,,,,,,,,
ZVQD5E11,448.96037,-151.146324,-1.65E-17,601.304483,0.3444,0,80.132052,-4.54E-19,-2.09E-18,2040,365,324
,,,,,,,,,,,,
QD5E.11,449.039054,-150.693991,-1.65E-17,601.763608,0.82615,-0.1793457,80.132052,-4.54E-19,-2.09E-18,2042,366,371
,,,,,,,,,,,,
MQD5E11,449.212673,-149.695905,-1.65E-17,602.776683,0,0,80.132052,-4.54E-19,-2.09E-18,2044,367,11
,,,,,,,,,,,,
B2E.26,449.330375,-149.019266,-1.65E-17,603.463482,5.902202,0.0557427,80.132052,-4.54E-19,-2.09E-18,2046,368,366
,,,,,,,,,,,,
MQF6E6,450.263337,-142.46131,-1.66E-17,610.088483,0,0,83.325875,-3.37E-19,-2.11E-18,2048,369,11
,,,,,,,,,,,,
QF6E.6,450.283271,-142.290958,-1.66E-17,610.259998,0.55697,0.1633353,83.325875,-3.37E-19,-2.11E-18,2050,370,372
,,,,,,,,,,,,
B2E.27,450.451942,-140.849509,-1.66E-17,611.711283,5.902202,0.0557427,83.325875,-3.37E-19,-2.11E-18,2052,371,366
,,,,,,,,,,,,
MQD5E12,451.015901,-134.285693,-1.66E-17,618.300284,0,0,86.519698,-2.19E-19,-2.13E-18,2054,372,11
,,,,,,,,,,,,
QD5E.12,451.027249,-134.099113,-1.66E-17,618.487209,0.82615,-0.1793457,86.519698,-2.19E-19,-2.13E-18,2056,373,371
,,,,,,,,,,,,
ZVQD5E12,451.084365,-133.159973,-1.66E-17,619.428084,0.3444,0,86.519698,-2.19E-19,-2.13E-18,2058,374,324
,,,,,,,,,,,,
MQEAE12,451.365042,-128.544901,-1.66E-17,624.051683,0,0,86.519698,-2.19E-19,-2.13E-18,2062,375,11
,,,,,,,,,,,,
QEAE.12,451.37639,-128.358321,-1.66E-17,624.238608,0.82615,0.1830092,86.519698,-2.19E-19,-2.13E-18,2064,376,370
,,,,,,,,,,,,
ZHQEAE12,451.433506,-127.419181,-1.66E-17,625.179483,0.3444,0,86.519698,-2.19E-19,-2.13E-18,2066,377,324
,,,,,,,,,,,,
SF2NRE.2,451.613968,-124.4519,-1.66E-17,628.152247,0.334,0,86.519698,-2.19E-19,-2.13E-18,2068,378,369
,,,,,,,,,,,,
MQS4NE1,451.645899,-123.92687,-1.66E-17,628.678247,0,0,86.519698,-2.19E-19,-2.13E-18,2070,379,11
,,,,,,,,,,,,
QS4NE.1,451.657247,-123.74029,-1.66E-17,628.865172,0.82615,0.0725658,86.519698,-2.19E-19,-2.13E-18,2072,380,380
,,,,,,,,,,,,
ZHQS4NE1,451.714363,-122.80115,-1.66E-17,629.806047,0.3444,0,86.519698,-2.19E-19,-2.13E-18,2074,381,324
,,,,,,,,,,,,
ZVQSBNE1,451.80138,-121.370356,-1.66E-17,631.239484,0.3444,0,86.519698,-2.19E-19,-2.13E-18,2078,382,324
,,,,,,,,,,,,
QSBNE.1,451.829252,-120.912078,-1.66E-17,631.698609,0.82615,-0.255322,86.519698,-2.19E-19,-2.13E-18,2080,383,381
,,,,,,,,,,,,
MQSBNE1,451.890751,-119.900871,-1.66E-17,632.711684,0,0,86.519698,-2.19E-19,-2.13E-18,2082,384,11
,,,,,,,,,,,,
MQS3NE1,452.045529,-117.355916,-1.67E-17,635.261342,0,0,86.519698,-2.19E-19,-2.13E-18,2088,385,11
,,,,,,,,,,,,
QS3NE.1,452.056876,-117.169336,-1.67E-17,635.448267,0.82615,0.1756474,86.519698,-2.19E-19,-2.13E-18,2090,386,382
,,,,,,,,,,,,
