Element,Gx,Gy,Gz,s,Length,Value,Chi1,Chi2,Chi3,#_µ,mag.#,type
QC1LPE825,1.288976,-452.812338,3.70E-04,0.82,0.01,-0.0023099,2.845789,-0.070662,-2.57E-20,169,1,41
,,,,,,,,,,,,
QC1LPE835,1.298964,-452.811841,3.58E-04,0.83,0.01,-0.0022211,2.842874,-0.072463,-4.17E-20,171,1,42
,,,,,,,,,,,,
QC1LPE845,1.308952,-452.811346,3.45E-04,0.84,0.01,-0.0021282,2.839998,-0.074302,-5.75E-20,173,1,43
,,,,,,,,,,,,
QC1LPE855,1.318939,-452.810851,3.32E-04,0.85,0.01,-0.0020359,2.837178,-0.076134,-7.30E-20,175,1,44
,,,,,,,,,,,,
QC1LPE865,1.328927,-452.810356,3.18E-04,0.86,0.01,-0.0019463,2.834421,-0.077849,-8.81E-20,177,1,45
,,,,,,,,,,,,
QC1LPE875,1.338915,-452.809862,3.05E-04,0.87,0.01,-0.0018606,2.831733,-0.079314,-1.03E-19,179,1,46
,,,,,,,,,,,,
QC1LPE885,1.348903,-452.809368,2.91E-04,0.88,0.01,-0.0017789,2.829117,-0.080419,-1.17E-19,181,1,47
,,,,,,,,,,,,
QC1LPE891,1.35889,-452.808874,2.77E-04,0.89,0,-8.51E-04,2.826573,-0.081113,-1.31E-19,183,1,48
,,,,,,,,,,,,
QC1LE895,1.35889,-452.808874,2.77E-04,0.89,0.01,-2.03E-35,2.826571,-0.081126,-1.31E-19,184,1,49
,,,,,,,,,,,,
QC1LPE899,1.368878,-452.808381,2.62E-04,0.9,0,-8.51E-04,2.82412,-0.081405,-1.45E-19,185,1,48
,,,,,,,,,,,,
QC1LPE901,1.368878,-452.808381,2.62E-04,0.9,0,-8.14E-04,2.824103,-0.081422,-1.45E-19,187,1,50
,,,,,,,,,,,,
QC1LE905,1.368878,-452.808381,2.62E-04,0.9,0.01,4.59E-19,2.824101,-0.081434,-1.45E-19,188,1,51
,,,,,,,,,,,,
QC1LPE909,1.378866,-452.807889,2.48E-04,0.91,0,-8.14E-04,2.821717,-0.081419,-1.58E-19,189,1,50
,,,,,,,,,,,,
QC1LPE911,1.378866,-452.807889,2.48E-04,0.91,0,-7.79E-04,2.821699,-0.081435,-1.58E-19,191,1,52
,,,,,,,,,,,,
QC1LE915,1.378866,-452.807889,2.48E-04,0.91,0.01,4.18E-05,2.821697,-0.081446,-1.58E-19,192,1,53
,,,,,,,,,,,,
QC1LPE919,1.388854,-452.807397,2.34E-04,0.92,0,-7.79E-04,2.819384,-0.08125,-1.71E-19,193,1,52
,,,,,,,,,,,,
QC1LPE921,1.388854,-452.807397,2.34E-04,0.92,0,-7.46E-04,2.819367,-0.081266,-1.71E-19,195,1,54
,,,,,,,,,,,,
QC1LE925,1.388854,-452.807397,2.34E-04,0.92,0.01,4.21E-05,2.819364,-0.081276,-1.71E-19,196,1,55
,,,,,,,,,,,,
QC1LPE929,1.398842,-452.806905,2.20E-04,0.93,0,-7.46E-04,2.817123,-0.080986,-1.83E-19,197,1,54
,,,,,,,,,,,,
QC1LPE931,1.398842,-452.806905,2.20E-04,0.93,0,-7.15E-04,2.817107,-0.081,-1.83E-19,199,1,56
,,,,,,,,,,,,
QC1LE935,1.398842,-452.806905,2.20E-04,0.93,0.01,4.23E-05,2.817104,-0.081009,-1.83E-19,200,1,57
,,,,,,,,,,,,
QC1LPE939,1.40883,-452.806414,2.06E-04,0.94,0,-7.15E-04,2.814932,-0.080645,-1.95E-19,201,1,56
,,,,,,,,,,,,
QC1LPE941,1.40883,-452.806414,2.06E-04,0.94,0,-6.85E-04,2.814916,-0.080659,-1.95E-19,203,1,58
,,,,,,,,,,,,
QC1LE945,1.40883,-452.806414,2.06E-04,0.94,0.01,4.25E-05,2.814913,-0.080667,-1.95E-19,204,1,59
,,,,,,,,,,,,
QC1LPE949,1.418818,-452.805923,1.92E-04,0.95,0,-6.85E-04,2.812809,-0.080176,-2.07E-19,205,1,58
,,,,,,,,,,,,
QC1LPE951,1.418818,-452.805923,1.92E-04,0.95,0,-6.57E-04,2.812794,-0.080189,-2.07E-19,207,1,60
,,,,,,,,,,,,
QC1LE955,1.418818,-452.805923,1.92E-04,0.95,0.01,4.28E-05,2.81279,-0.080196,-2.07E-19,208,1,61
,,,,,,,,,,,,
QC1LPE959,1.428806,-452.805432,1.78E-04,0.96,0,-6.57E-04,2.810753,-0.079477,-2.18E-19,209,1,60
,,,,,,,,,,,,
QC1LPE961,1.428806,-452.805432,1.78E-04,0.96,0,-6.30E-04,2.810737,-0.079491,-2.18E-19,211,1,62
,,,,,,,,,,,,
QC1LE965,1.428806,-452.805432,1.78E-04,0.96,0.01,4.30E-05,2.810733,-0.079497,-2.18E-19,212,1,63
,,,,,,,,,,,,
QC1LPE969,1.438794,-452.804942,1.64E-04,0.97,0,-6.30E-04,2.808761,-0.078436,-2.29E-19,213,1,62
,,,,,,,,,,,,
QC1LPE971,1.438794,-452.804942,1.64E-04,0.97,0,-6.04E-04,2.808745,-0.078451,-2.29E-19,215,1,64
,,,,,,,,,,,,
QC1LE975,1.438794,-452.804942,1.64E-04,0.97,0.01,4.34E-05,2.808741,-0.078456,-2.29E-19,216,1,65
,,,,,,,,,,,,
QC1LPE979,1.448782,-452.804452,1.50E-04,0.98,0,-6.04E-04,2.806834,-0.07696,-2.40E-19,217,1,64
,,,,,,,,,,,,
QC1LPE981,1.448782,-452.804452,1.50E-04,0.98,0,-5.80E-04,2.806817,-0.076976,-2.40E-19,219,1,66
,,,,,,,,,,,,
QC1LE985,1.448782,-452.804452,1.50E-04,0.98,0.01,4.38E-05,2.806813,-0.076981,-2.40E-19,220,1,67
,,,,,,,,,,,,
QC1LPE989,1.45877,-452.803963,1.37E-04,0.99,0,-5.80E-04,2.804971,-0.074999,-2.50E-19,221,1,66
,,,,,,,,,,,,
QC1LPE991,1.45877,-452.803963,1.37E-04,0.99,0,-5.56E-04,2.804953,-0.075017,-2.50E-19,223,1,68
,,,,,,,,,,,,
QC1LE995,1.45877,-452.803963,1.37E-04,0.99,0.01,4.43E-05,2.804949,-0.075022,-2.50E-19,224,1,69
,,,,,,,,,,,,
QC1LPE999,1.468758,-452.803474,1.24E-04,1,0,-5.56E-04,2.803172,-0.072559,-2.60E-19,225,1,68
,,,,,,,,,,,,
QC1LPE100,1            1.468758,-452.803474,1.24E-04,1,0,-5.34E-04,2.803155,-0.072579,-2.60E-19,227,1,70
,,,,,,,,,,,,
QC1LE1005,1.468758,-452.803474,1.24E-04,1,0.01,4.49E-05,2.80315,-0.072583,-2.60E-19,228,1,71
,,,,,,,,,,,,
QC1LPE100,9            1.478746,-452.802985,1.12E-04,1.010001,0,-5.34E-04,2.80144,-0.069698,-2.69E-19,229,2,70
,,,,,,,,,,,,
QC1LPE101,1            1.478746,-452.802985,1.12E-04,1.010001,0,-5.11E-04,2.801423,-0.06972,-2.69E-19,231,2,72
,,,,,,,,,,,,
QC1LE1015,1.478746,-452.802985,1.12E-04,1.010001,0.01,4.57E-05,2.801418,-0.069724,-2.69E-19,232,2,73
,,,,,,,,,,,,
QC1LPE101,9            1.488734,-452.802496,1.00E-04,1.020001,0,-5.11E-04,2.799776,-0.066513,-2.78E-19,233,2,72
,,,,,,,,,,,,
QC1LPE102,1            1.488734,-452.802496,1.00E-04,1.020001,0,-4.89E-04,2.79976,-0.066537,-2.78E-19,235,2,74
,,,,,,,,,,,,
QC1LE1025,1.488734,-452.802496,1.00E-04,1.020001,0.01,4.67E-05,2.799755,-0.06654,-2.79E-19,236,2,75
,,,,,,,,,,,,
QC1LPE102,9            1.498722,-452.802008,8.87E-05,1.030001,0,-4.89E-04,2.798184,-0.063111,-2.87E-19,237,2,74
,,,,,,,,,,,,
QC1LPE103,1            1.498722,-452.802008,8.87E-05,1.030001,0,-4.65E-04,2.798169,-0.063135,-2.87E-19,239,2,76
,,,,,,,,,,,,
QC1LE1035,1.498722,-452.802008,8.87E-05,1.030001,0.01,4.79E-05,2.798164,-0.063138,-2.87E-19,240,2,77
,,,,,,,,,,,,
QC1LPE103,9            1.508710,-452.80152,7.80E-05,1.040001,0,-4.65E-04,2.796668,-0.059582,-2.95E-19,241,2,76
,,,,,,,,,,,,
QC1LPE104,1            1.508710,-452.80152,7.80E-05,1.040001,0,-4.40E-04,2.796654,-0.059607,-2.96E-19,243,2,78
,,,,,,,,,,,,
QC1LE1045,1.50871,-452.80152,7.80E-05,1.040001,0.01,4.95E-05,2.796649,-0.059609,-2.96E-19,244,2,79
,,,,,,,,,,,,
QC1LPE104,9            1.518698,-452.801032,6.79E-05,1.050001,0,-4.40E-04,2.795235,-0.055986,-3.03E-19,245,2,78
,,,,,,,,,,,,
QC1LPE105,1            1.518698,-452.801032,6.79E-05,1.050001,0,-4.12E-04,2.795223,-0.056011,-3.03E-19,247,2,80
,,,,,,,,,,,,
QC1LE1055,1.518698,-452.801032,6.79E-05,1.050001,0.01,5.16E-05,2.795218,-0.056013,-3.03E-19,248,2,81
,,,,,,,,,,,,
QC1LPE105,9            1.528686,-452.800544,5.85E-05,1.060001,0,-4.12E-04,2.793894,-0.052357,-3.11E-19,249,2,80
,,,,,,,,,,,,
QC1LPE106,1            1.528686,-452.800544,5.85E-05,1.060001,0,-3.80E-04,2.793883,-0.052382,-3.11E-19,251,2,82
,,,,,,,,,,,,
QC1LE1065,1.528686,-452.800544,5.85E-05,1.060001,0.01,5.44E-05,2.793878,-0.052384,-3.11E-19,252,2,83
,,,,,,,,,,,,
QC1LPE106,9            1.538674,-452.800057,4.96E-05,1.070001,0,-3.80E-04,2.792654,-0.048712,-3.18E-19,253,2,82
,,,,,,,,,,,,
QC1LPE107,1            1.538674,-452.800057,4.96E-05,1.070001,0,-3.42E-04,2.792644,-0.048738,-3.18E-19,255,2,84
,,,,,,,,,,,,
QC1LE1075,1.538674,-452.800057,4.96E-05,1.070001,0.01,5.81E-05,2.792639,-0.048739,-3.18E-19,256,2,85
,,,,,,,,,,,,
